Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/218367,218367,Centurion Labz,Rage XXX Strawberry Kiwi,0,0,0,3200,0,0,0,1000,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/229060,229060,DAS Labs,Woke AF Black Island Fusion,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/229062,229062,DAS Labs,Woke AF Black Sets on the Beach,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/229063,229063,DAS Labs,Woke AF Preworkout Blood Raz,0,333,0,3200,0,0,0,100,0,6000,0,0,300,50
https://dsld.od.nih.gov/label/229064,229064,DAS Labs,Woke AF Blue Raz,0,333,0,3200,0,0,0,100,0,6000,0,0,300,50
https://dsld.od.nih.gov/label/229065,229065,DAS Labs,Woke AF Preworkout Grape Gainz,0,333,0,3200,0,0,0,100,0,6000,0,0,300,50
https://dsld.od.nih.gov/label/229066,229066,DAS Labs,Woke AF Preworkout 'Merica Rocket Pop,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/229067,229067,DAS Labs,Woke AF Preworkout Strawberry Kiwi,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/233622,233622,DNM Nutra Incorporated,Helios Pre Workout Atomic Bombsicle,0,400,0,3200,0,2000,250,0,0,0,0,0,100,0.2
https://dsld.od.nih.gov/label/233626,233626,DNM Nutra Incorporated,Helios Pre Workout Blue Razz,0,400,0,3200,0,2000,250,0,0,0,0,0,100,0.2
https://dsld.od.nih.gov/label/246859,246859,ONNX Nutrition,Nitro,0,325,0,3200,0,0,750,0,1500,6000,0,0,0,0
https://dsld.od.nih.gov/label/248405,248405,LMNITRIX,Harambe Blood Blue Slush,0,395,0,3200,0,0,1000,0,0,6000,0,0,0,250
https://dsld.od.nih.gov/label/248700,248700,GHOST,Legend Sour Patch Kids Redberry,0,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/248858,248858,Huge Nutrition,Wrecked Pre-Workout Rainbow Burst,0,250,0,3200,0,0,1000,0,2000,9000,1250,0,50,0
https://dsld.od.nih.gov/label/249429,249429,GHOST,Legend Blue Raspberry,5,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/249498,249498,GHOST,Legend Swedish Fish,0,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/249499,249499,GHOST,Legend Sonic Cherry Limeade,10,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/254215,254215,Kilo Labs,Hybrid Mega Dosed Preworkout Blue Ras Cotton Candy,0,400,0,3200,0,0,0,0,0,6000,0,0,150,0
https://dsld.od.nih.gov/label/256297,256297,DAS Labs,Woke AF Preworkout Blue Snow Cone,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/256306,256306,DAS Labs,Woke AF Preworkout Red Snow Cone,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
